Temperature,Humidity,SoilMoisture,PredictedYield,DiseaseRiskScore
23.61,50.18,35.7,18.0,17.9
36.87,69.8,34.82,18.0,53.91
31.84,88.01,74.38,18.0,67.75
28.77,80.27,34.97,18.0,54.96
18.59,84.36,36.32,18.0,42.04
18.59,76.23,65.56,18.0,36.79
16.34,78.08,46.98,18.0,36.75
34.92,86.71,66.6,18.0,57.8
28.83,53.73,23.92,18.0,32.81
31.29,66.92,49.25,18.0,40.81
15.47,52.17,22.02,17.93,5.91
37.31,94.32,23.76,15.67,70.04
34.15,91.92,74.39,18.0,63.21
19.88,42.17,28.35,18.0,5.0
19.18,78.81,51.95,18.0,37.19
19.22,90.89,44.67,18.0,61.53
22.0,49.93,40.84,18.0,15.53
27.07,71.24,73.99,18.0,45.03
24.93,90.35,21.31,18.0,60.74
21.7,41.87,59.83,18.0,11.09
29.07,78.36,77.8,18.0,52.84
18.21,56.35,53.61,18.0,13.08
21.72,90.84,76.21,18.0,62.24
23.43,93.41,23.14,18.0,68.58
25.49,91.93,45.13,18.0,52.48
33.06,66.08,35.61,18.0,42.15
19.59,87.41,63.85,18.0,47.69
26.83,86.45,78.88,18.0,52.83
28.63,57.55,35.39,18.0,36.26
16.07,85.59,59.25,18.0,39.2
28.97,42.04,31.89,18.0,30.9
18.92,72.79,53.92,18.0,40.88
16.5,52.65,47.84,18.0,14.51
36.82,46.63,78.32,18.0,39.63
37.21,44.23,56.51,18.0,38.35
33.59,78.3,40.97,18.0,56.25
22.01,58.69,26.85,18.0,22.05
17.25,79.86,29.07,18.0,39.56
30.74,43.59,33.52,18.0,28.1
25.12,57.34,35.06,18.0,29.66
17.81,69.67,71.04,18.0,22.75
26.39,83.49,53.67,18.0,50.38
15.79,57.53,51.4,18.0,16.6
35.91,74.42,26.89,18.0,58.2
20.95,88.73,71.61,18.0,61.92
30.24,73.87,63.37,18.0,43.74
22.17,52.81,24.06,18.0,23.53
26.96,41.34,62.47,18.0,24.27
27.57,87.86,52.61,18.0,71.26
19.25,41.17,24.9,18.0,5.0
37.3,88.11,47.5,18.0,75.28
32.83,69.09,49.08,18.0,52.55
36.61,91.65,29.95,17.27,76.12
35.58,83.93,76.74,18.0,66.29
28.75,94.89,71.0,18.0,70.01
36.2,59.29,60.14,18.0,32.53
17.04,82.2,47.74,18.0,44.42
19.51,62.11,44.71,18.0,26.61
16.04,66.39,59.06,18.0,24.24
22.48,74.51,52.73,18.0,51.37
23.94,88.05,23.74,18.0,51.97
21.24,94.12,50.75,18.0,55.33
34.06,82.26,68.38,18.0,73.23
23.21,62.98,47.55,18.0,27.43
21.46,63.17,23.12,18.0,26.75
27.48,80.57,67.18,18.0,52.42
18.24,53.13,32.08,18.0,20.37
33.45,46.08,35.52,18.0,30.63
16.71,59.5,29.88,18.0,13.5
37.7,55.8,39.81,18.0,41.31
32.76,56.3,65.41,18.0,34.95
19.57,52.85,51.16,18.0,17.26
15.13,42.32,32.29,17.79,5.0
33.76,40.98,72.67,18.0,27.45
31.26,94.32,72.77,18.0,61.71
31.77,63.53,72.23,18.0,48.58
32.74,61.14,34.33,18.0,43.62
16.7,77.38,47.07,18.0,43.13
23.24,52.0,79.1,18.0,23.89
17.66,92.25,66.32,18.0,56.48
34.85,83.25,21.63,18.0,67.54
29.34,44.92,23.91,18.0,29.9
22.61,62.97,47.84,18.0,33.42
16.46,88.35,74.55,18.0,45.37
22.15,91.96,52.32,18.0,67.93
22.48,65.71,49.87,18.0,37.57
31.78,73.74,26.33,18.0,55.43
29.66,49.19,59.41,18.0,21.1
35.41,94.51,69.33,18.0,69.73
25.86,52.74,42.83,18.0,27.21
17.75,91.85,66.54,18.0,51.45
31.4,75.73,77.87,18.0,50.81
32.5,73.43,32.23,18.0,53.92
27.91,68.2,51.4,18.0,50.42
32.73,52.69,37.23,18.0,38.14
26.36,49.71,67.57,18.0,17.94
27.02,52.13,54.66,18.0,26.15
24.83,50.25,58.07,18.0,18.12
15.58,82.88,67.87,18.0,37.8
17.48,59.26,43.76,18.0,18.67
15.72,43.18,74.91,18.0,5.0
29.64,93.3,51.98,18.0,61.27
22.23,88.61,29.48,18.0,52.98
26.7,91.03,61.75,18.0,58.84
35.87,94.72,67.6,18.0,62.33
20.73,49.56,39.01,18.0,26.44
24.44,61.79,71.43,18.0,37.57
32.38,81.7,74.37,18.0,58.7
20.26,78.28,36.61,18.0,41.76
16.77,48.46,79.01,18.0,5.0
21.66,84.87,28.44,18.0,57.96
18.71,52.34,32.12,18.0,25.55
36.38,52.31,31.05,18.0,39.87
33.59,69.53,73.64,18.0,56.21
29.57,72.61,59.26,18.0,49.53
35.04,71.9,29.13,18.0,48.46
33.48,45.03,46.42,18.0,26.63
19.29,88.26,56.92,18.0,50.13
35.53,54.61,25.01,18.0,37.78
27.4,47.12,72.94,18.0,21.56
33.57,88.88,68.22,18.0,68.2
35.61,92.56,50.31,18.0,74.26
22.31,87.42,78.03,18.0,52.91
17.53,84.52,45.07,18.0,38.47
20.24,76.04,79.05,18.0,36.02
24.82,70.3,60.08,18.0,33.93
33.81,44.78,58.08,18.0,33.78
34.8,62.46,29.96,18.0,35.72
15.16,60.5,72.92,18.0,24.61
26.75,54.29,45.65,18.0,35.24
24.6,79.79,29.73,18.0,47.18
20.11,67.27,20.76,18.0,18.44
17.76,44.46,53.59,18.0,5.84
22.77,52.11,51.64,18.0,20.82
36.69,77.58,63.16,18.0,57.4
22.43,44.19,73.42,18.0,10.93
26.93,86.82,24.76,18.0,65.78
31.17,67.23,63.89,18.0,49.17
23.36,66.43,31.24,18.0,30.32
37.35,72.58,71.49,18.0,50.79
37.14,85.36,69.14,18.0,68.47
20.79,59.13,52.45,18.0,23.88
26.44,77.29,62.61,18.0,51.3
21.92,71.12,38.86,18.0,34.64
21.55,54.69,48.27,18.0,24.45
15.85,88.32,69.3,18.0,54.71
29.02,83.86,47.56,18.0,62.24
26.56,76.21,41.47,18.0,47.76
16.18,86.78,49.65,18.0,43.16
21.41,87.7,69.69,18.0,49.94
35.89,78.96,40.11,18.0,68.57
20.51,86.04,30.43,18.0,45.9
18.33,78.36,62.72,18.0,39.45
26.26,77.41,69.56,18.0,48.95
37.67,74.02,26.04,18.0,57.99
20.57,81.4,34.39,18.0,38.04
30.46,48.72,28.52,18.0,29.71
32.52,88.45,40.88,18.0,66.59
20.47,87.95,47.02,18.0,53.22
31.75,41.61,64.93,18.0,20.64
23.46,85.42,59.07,18.0,58.43
29.54,47.09,57.26,18.0,21.03
29.57,58.43,41.14,18.0,44.32
27.32,80.89,70.49,18.0,44.51
17.08,48.84,48.28,18.0,12.92
34.21,84.99,78.75,18.0,68.33
22.38,85.77,58.05,18.0,47.25
19.29,67.91,27.58,18.0,33.09
15.94,40.35,60.57,18.0,7.94
28.59,55.79,39.51,18.0,20.99
30.58,73.93,61.18,18.0,53.69
15.38,93.97,24.18,18.0,37.09
26.78,74.75,30.49,18.0,42.13
20.21,54.29,71.34,18.0,27.93
29.84,74.87,33.63,18.0,48.15
